8563	должок	0.4987924099
15200	хавронья	0.4992641509
21801	лужайка	0.499548763
154	артуш	0.5002959967
51301	закут	0.5003808141
59888	насыпщик	0.5008550882
14869	халатик	0.5008595586
49952	вошка	0.5008927584
43118	сачхере	0.5009288192
61174	пультик	0.5011331439
22295	лесна	0.5022547245
55018	чекуша	0.5023558736
57525	имед	0.5030791163
28808	опак	0.5032451749
23737	мазик	0.5032802224
19694	копал	0.5036821961
36710	плитняк	0.5037286878
29210	официал	0.5039160252
64146	силишка	0.5041057467
5574	бочар	0.5041690469
28375	огуречник	0.5043221116
41850	стель	0.5043329597
42481	сосец	0.5046991706
5020	бушлат	0.5047696829
29242	остер	0.5048280358
45328	тын	0.5054402947
13222	гуртовщик	0.5055499077
45892	трошка	0.505592227
34169	пожарник	0.5055989623
36485	проезжий	0.5056254864
53974	анел	0.5057023764
9445	дымянка	0.5057969093
19494	караульщик	0.5060221553
37279	речник	0.5061330795
63286	ссыпщик	0.5062386394
13386	гривенник	0.5062507391
5774	башмак	0.5065304041
26549	начин	0.5068229437
27608	наволока	0.5069387555
11258	флагшток	0.506991148
38373	рундук	0.5071283579
22781	мостовщик	0.5075167418
17555	кирпичник	0.5077026486
26479	ножик	0.5082429051
49283	выколотка	0.5082653165
57194	хомутник	0.5083771944
5652	бочаг	0.5084352493
10125	эластик	0.5085499287
40952	салатик	0.5087081194
55962	евлантий	0.5088635683
8173	дощаник	0.5090886354
3559	армо	0.5092408657
17668	кабанчик	0.5092568994
24077	матросик	0.5098225474
17811	коксохимик	0.5099349618
55081	центал	0.5101110339
12151	фуфайка	0.5101803541
10642	елистрат	0.5103624463
18397	кирьяк	0.5106768012
42350	свечник	0.5107665062
18414	кутафья	0.510848999
10932	элеватор	0.5109087825
64174	столярня	0.5109182
52971	аркел	0.5111265182
4133	булга	0.5113627315
37920	руга	0.5116174817
19525	коротыш	0.5122179985
21586	льдинка	0.5122381449
17372	крошево	0.5127783418
46556	тойли	0.5129800439
